GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042300401,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,,34:54,4.0,9.0,0.444,2.0,5.0,0.4,2.0,2.0,1.0,2.0,6.0,8.0,5.0,1.0,0.0,0.0,3.0,12.0,20.0
0042300401,1610612738,BOS,Boston,204001,Kristaps Porziņģis,Kristaps,,,20:34,8.0,13.0,0.615,2.0,4.0,0.5,2.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,3.0,1.0,1.0,20.0,13.0
0042300401,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,16:02,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,8.0,17.0
0042300401,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,15:30,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0
0042300401,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,,3:19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,-3.0
0042300401,1610612738,BOS,Boston,1629052,Oshae Brissett,Oshae,,,2:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0042300401,1610612738,BOS,Boston,1629004,Svi Mykhailiuk,Svi,,,2:40,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
0042300401,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300401,1610612738,BOS,Boston,1630531,Jaden Springer,Jaden,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300401,1610612738,BOS,Boston,1630214,Xavier Tillman,Xavier,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300401,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300304,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,44:27,11.0,22.0,0.5,4.0,8.0,0.5,3.0,6.0,0.5,2.0,4.0,6.0,2.0,3.0,1.0,3.0,3.0,29.0,6.0
0042300304,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,43:46,11.0,26.0,0.423,3.0,11.0,0.273,1.0,1.0,1.0,3.0,10.0,13.0,8.0,1.0,0.0,5.0,5.0,26.0,6.0
0042300304,1610612738,BOS,Boston,201143,Al Horford,Al,C,,39:34,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,2.0,6.0,8.0,5.0,1.0,1.0,0.0,2.0,7.0,3.0
0042300304,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,42:04,7.0,14.0,0.5,2.0,9.0,0.222,0.0,0.0,0.0,1.0,3.0,4.0,4.0,5.0,3.0,0.0,3.0,16.0,5.0
0042300304,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,,38:02,7.0,13.0,0.538,2.0,6.0,0.333,1.0,1.0,1.0,1.0,8.0,9.0,2.0,0.0,0.0,1.0,3.0,17.0,2.0
0042300304,1610612738,BOS,Boston,1630214,Xavier Tillman,Xavier,,,8:48,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0
0042300304,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,14:07,1.0,6.0,0.167,1.0,5.0,0.2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0
0042300304,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,9:12,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-9.0
0042300304,1610612738,BOS,Boston,1629052,Oshae Brissett,Oshae,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300304,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300304,1610612738,BOS,Boston,1629004,Svi Mykhailiuk,Svi,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300304,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300304,1610612738,BOS,Boston,1630531,Jaden Springer,Jaden,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300304,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
